,Algorithm,Components,Clusters,Homogeneity,Time
0,Test,0,0,0.0,0.0
0,RCA,1,1,0.0,2.2609263000000084
0,RCA,1,2,0.01303544493946883,0.08748310000000004
0,RCA,1,3,0.013207329622103765,0.028660799999997266
0,RCA,1,4,0.014186550602830535,0.02917709999999829
0,RCA,1,5,0.01433781177433122,0.04063390000000311
0,RCA,1,6,0.014458156734286288,0.04745730000000492
0,RCA,1,7,0.014515316688626476,0.06014009999999814
0,RCA,1,8,0.014584573533499925,0.06873089999999138
0,RCA,1,9,0.014584573533499925,0.09689730000000907
0,RCA,1,10,0.014584573533499925,0.08603800000000206
0,RCA,1,11,0.014584573533499925,0.09242270000000019
0,RCA,1,12,0.014584573533499925,0.10148460000000625
0,RCA,1,13,0.014584573533499925,0.10755089999999257
0,RCA,1,14,0.014584573533499932,0.11134409999999662
0,RCA,1,15,0.01458457353349993,0.10741140000000371
0,RCA,1,16,0.01458457353349993,0.1191141999999985
0,RCA,1,17,0.01458457353349993,0.11568530000000976
0,RCA,1,18,0.01458457353349993,0.12088059999999246
0,RCA,1,19,0.01458457353349993,0.12329509999999289
0,RCA,2,1,0.0,0.05520059999999205
0,RCA,2,2,0.015046261504496698,0.030500099999997587
0,RCA,2,3,0.013154633359564991,0.09495520000000113
0,RCA,2,4,0.015236023869206214,0.11153639999999143
0,RCA,2,5,0.016128003860097075,0.11554209999999898
0,RCA,2,6,0.020810921738237707,0.1408149000000094
0,RCA,2,7,0.017799203461037607,0.16801060000000234
0,RCA,2,8,0.018392675175679753,0.17327090000000567
0,RCA,2,9,0.01855104230067376,0.17682059999999922
0,RCA,2,10,0.021284484559575618,0.18018080000000225
0,RCA,2,11,0.021302491010276682,0.1853989000000098
0,RCA,2,12,0.023433513114326364,0.3365354000000025
0,RCA,2,13,0.023679561384590823,0.1496075000000019
0,RCA,2,14,0.023834053772705626,0.1485509000000036
0,RCA,2,15,0.024088845801440682,0.1571353000000073
0,RCA,2,16,0.02483402562279115,0.16874230000000523
0,RCA,2,17,0.024817584338443242,0.22815719999999828
0,RCA,2,18,0.025140124632919918,0.18185320000000615
0,RCA,2,19,0.025357266208283633,0.20491889999999557
0,RCA,3,1,0.0,0.016018100000010804
0,RCA,3,2,0.01344064319939896,0.0325727000000029
0,RCA,3,3,0.011901407396769502,0.13844950000000722
0,RCA,3,4,0.006744822250070405,0.1370199999999926
0,RCA,3,5,0.005196614840756696,0.1321013000000022
0,RCA,3,6,0.00524948352263796,0.10920999999999026
0,RCA,3,7,0.00827896499573984,0.20790080000000444
0,RCA,3,8,0.01629543777718725,0.17232609999999227
0,RCA,3,9,0.010072977508160318,0.19769340000000568
0,RCA,3,10,0.012774761654022387,0.260902999999999
0,RCA,3,11,0.019359550905159145,0.23785249999998825
0,RCA,3,12,0.013468982415682276,0.35189839999999606
0,RCA,3,13,0.020197708790775388,0.42045669999998836
0,RCA,3,14,0.02060604054299498,0.3515328000000011
0,RCA,3,15,0.02130243774503388,0.4632046999999915
0,RCA,3,16,0.02106846095648936,0.34674990000000605
0,RCA,3,17,0.02186800644228864,0.31511490000001174
0,RCA,3,18,0.0219130719691669,0.3933526999999941
0,RCA,3,19,0.022008183634350552,0.38704830000000356
0,RCA,4,1,0.0,0.014543600000010315
0,RCA,4,2,0.007710316799946888,0.108961800000003
0,RCA,4,3,0.012260577072697393,0.10315669999999955
0,RCA,4,4,0.013942702540208997,0.1353380000000044
0,RCA,4,5,0.0051295367451823825,0.10945169999999393
0,RCA,4,6,0.007407070820433307,0.15040960000000325
0,RCA,4,7,0.004515035612978559,0.20785149999998964
0,RCA,4,8,0.015958731611840346,0.45092240000001027
0,RCA,4,9,0.021986073882611666,0.34997110000000475
0,RCA,4,10,0.01852689028801306,0.4460854000000012
