,Algorithm,Components,Clusters,Homogeneity,WCSS,Time
0,Test,0,0,0.0,0.0,0.0
0,PCA,1,1,0.0,8080.474299039379,0.4748905999999806
0,PCA,2,1,0.0,14087.786142667692,0.017282199999982595
0,PCA,3,1,0.0,19029.496353356495,0.017647499999981164
0,PCA,4,1,0.0,22402.879332664274,0.0214004999999986
0,PCA,5,1,0.0,25677.070316997902,0.01742639999997664
0,PCA,6,1,0.0,28435.650011581165,0.017877999999996064
0,PCA,7,1,0.0,31087.752133219117,0.02169000000000665
0,PCA,8,1,0.0,33511.346477766376,0.02388920000001349
0,PCA,9,1,0.0,35878.43048726598,0.034200200000015
0,PCA,10,1,0.0,38175.408052626226,0.025807200000002695
0,PCA,11,1,0.0,40325.879123475825,0.024577899999997044
0,PCA,12,1,0.0,42411.01054344891,0.019663900000011836
0,PCA,13,1,0.0,44480.85948740861,0.021724399999982325
0,PCA,14,1,0.0,46515.208038960256,0.019882899999998926
0,PCA,15,1,0.0,48509.89390425757,0.01970920000002252
0,PCA,16,1,0.0,50468.11568960686,0.021126499999979842
0,PCA,17,1,0.0,52351.157850893964,0.021455799999984038
0,PCA,18,1,0.0,54171.99482762121,0.02964860000000158
0,PCA,19,1,0.0,55984.78102313562,0.043907700000005434
0,PCA,20,1,0.0,57735.40288984304,0.03725350000001981
0,PCA,21,1,0.0,59457.030825295864,0.02899170000000595
0,PCA,22,1,0.0,61138.56687989538,0.026224200000001474
0,PCA,23,1,0.0,62769.016963809634,0.023503199999993285
0,PCA,24,1,0.0,64390.100468522796,0.024934200000018336
0,PCA,25,1,0.0,65951.0207976817,0.025351800000009916
0,PCA,26,1,0.0,67506.4542527076,0.026177300000000514
0,PCA,27,1,0.0,69023.25635823658,0.03618410000001404
0,PCA,28,1,0.0,70535.75641748468,0.07250120000000493
0,PCA,29,1,0.0,71996.97895295644,0.031814699999983986
0,PCA,30,1,0.0,73415.15317040867,0.029211199999991777
0,PCA,31,1,0.0,74831.31593420837,0.03235550000002263
