,Algorithm,Components,Clusters,AccuracyIn,AccuracyOut,Time
0,Base,0,0,0.8293125,0.82775,22.7382173
0,PCA,1,0,0.7503125,0.75175,0.6421458000000015
0,PCA,1,1,0.5,0.5,0.4538606999999999
0,PCA,1,2,0.5,0.5,0.16571840000000293
0,PCA,1,3,0.7495625,0.75075,0.4522691000000023
0,PCA,1,4,0.6485,0.64975,0.40035070000000417
0,PCA,1,5,0.7525625,0.75325,0.42524099999999976
0,PCA,1,6,0.5,0.5,0.2663133000000002
0,PCA,1,7,0.6505,0.65025,0.4527461000000059
0,PCA,1,8,0.7495625,0.75075,0.5078017000000017
0,PCA,1,9,0.7545625,0.75375,0.9850439000000009
0,PCA,1,10,0.7495625,0.75075,0.7161158000000043
0,PCA,1,11,0.7525625,0.75325,1.0259800999999982
0,PCA,1,12,0.752125,0.75475,1.5563803000000007
0,PCA,1,13,0.5,0.5,0.8610576000000023
0,PCA,1,14,0.7554375,0.75825,1.9647377000000006
0,PCA,1,15,0.7554375,0.75825,3.8801023999999984
0,PCA,1,16,0.7554375,0.75825,2.4582148000000004
0,PCA,1,17,0.7496875,0.75075,0.8735836999999975
0,PCA,1,18,0.7671875,0.77125,1.6153188999999983
0,PCA,1,19,0.5,0.5,0.632548700000001
0,PCA,2,0,0.69725,0.69325,0.8751670999999988
0,PCA,2,1,0.5,0.5,0.0677999999999912
0,PCA,2,2,0.5,0.5,0.10290810000000761
0,PCA,2,3,0.6485,0.64975,0.20090569999999275
0,PCA,2,4,0.6485,0.64975,0.36682220000000143
0,PCA,2,5,0.7495625,0.75075,0.3603746000000001
0,PCA,2,6,0.5,0.5,0.19288319999999715
0,PCA,2,7,0.7545625,0.75375,0.5043971999999997
0,PCA,2,8,0.7545625,0.75375,0.2897558000000089
0,PCA,2,9,0.6020625,0.60125,0.6826627000000087
0,PCA,2,10,0.7545625,0.75375,1.3564812999999987
0,PCA,2,11,0.7545625,0.75375,0.9590472999999946
0,PCA,2,12,0.7545625,0.75375,1.259323000000009
0,PCA,2,13,0.765,0.76425,1.1356607000000025
0,PCA,2,14,0.765,0.76425,1.297807000000006
0,PCA,2,15,0.621625,0.62075,1.0059875000000034
0,PCA,2,16,0.765,0.76425,2.597224099999991
0,PCA,2,17,0.765,0.76425,1.9218256000000054
0,PCA,2,18,0.765,0.76425,1.7877957999999978
0,PCA,2,19,0.5,0.5,1.3494950000000046
0,PCA,3,0,0.7510625,0.749,0.37892730000000086
0,PCA,3,1,0.5,0.5,0.06331430000000182
0,PCA,3,2,0.5,0.5,0.0953300999999982
0,PCA,3,3,0.7496875,0.75125,0.2477539000000064
0,PCA,3,4,0.6599375,0.658,0.2448479999999904
0,PCA,3,5,0.6394375,0.63725,0.28722170000000347
0,PCA,3,6,0.5,0.5,0.36527680000000373
0,PCA,3,7,0.667875,0.664,0.5109214000000009
0,PCA,3,8,0.745375,0.746,0.3763814999999937
0,PCA,3,9,0.5851875,0.5855,0.7374283999999989
0,PCA,3,10,0.5851875,0.5855,0.3509700000000038
0,PCA,3,11,0.760875,0.759,0.4576519000000019
0,PCA,3,12,0.5851875,0.5855,0.6626648999999958
0,PCA,3,13,0.5,0.5,0.6475736999999953
0,PCA,3,14,0.7690625,0.76775,0.7252928999999995
0,PCA,3,15,0.616375,0.615,0.6030497999999938
0,PCA,3,16,0.7689375,0.7675,1.972836700000002
0,PCA,3,17,0.7665,0.7675,1.0433248999999876
0,PCA,3,18,0.684125,0.69375,0.634563
0,PCA,3,19,0.5,0.5,0.48973370000000216
0,PCA,4,0,0.7650625,0.7665,3.8417798999999917
0,PCA,4,1,0.5,0.5,0.06874460000000227
0,PCA,4,2,0.5,0.5,0.22496490000000335
0,PCA,4,3,0.7495625,0.75075,0.21862209999999038
0,PCA,4,4,0.6599375,0.658,0.30112350000000276
0,PCA,4,5,0.6785,0.67875,0.34066889999999717
0,PCA,4,6,0.5,0.5,0.3069312000000082
0,PCA,4,7,0.679625,0.683,0.553572299999999
0,PCA,4,8,0.684,0.6885,0.3771946999999898
0,PCA,4,9,0.6113125,0.613,0.4739428000000032
0,PCA,4,10,0.6044375,0.6075,0.5489109000000099
0,PCA,4,11,0.7580625,0.75575,0.5638366000000019
0,PCA,4,12,0.6021875,0.6045,0.5081933999999961
0,PCA,4,13,0.5,0.5,0.6335848000000084
0,PCA,4,14,0.763625,0.76075,1.1780887000000035
0,PCA,4,15,0.765875,0.761,1.4055001999999917
0,PCA,4,16,0.7666875,0.761,1.9260174000000063
