,Algorithm,Components,Clusters,AccuracyIn,AccuracyOut,Time
0,Base,0,0,0.8293125,0.82775,26.7783788
0,PCA,1,0,0.7503125,0.75175,0.784421800000004
0,PCA,1,1,0.5,0.5,0.08695620000000304
0,PCA,1,2,0.5,0.5,0.06951109999999971
0,PCA,1,3,0.7495625,0.75075,0.34105249999999643
0,PCA,1,4,0.753125,0.75575,0.3018906000000001
0,PCA,1,5,0.63775,0.638,0.23543000000000092
0,PCA,1,6,0.5,0.5,0.08784390000000286
0,PCA,1,7,0.6615,0.666,0.6202089000000015
0,PCA,1,8,0.6010625,0.601,0.17925449999999898
0,PCA,1,9,0.6855625,0.69025,0.38889230000000197
0,PCA,1,10,0.616375,0.6095,0.2726146999999983
0,PCA,1,11,0.752625,0.75475,0.7293154999999985
0,PCA,1,12,0.7561875,0.75975,1.1321537999999975
0,PCA,1,13,0.5,0.5,0.08889980000000008
0,PCA,1,14,0.75275,0.75475,1.2834193999999997
0,PCA,1,15,0.75625,0.7585,1.5425557000000083
0,PCA,1,16,0.7581875,0.75875,0.7583476999999874
0,PCA,1,17,0.7581875,0.75875,6.927623600000004
0,PCA,1,18,0.7581875,0.7605,1.0590150999999963
0,PCA,1,19,0.5,0.5,0.05836469999999849
0,PCA,2,0,0.69725,0.69325,1.4228826000000083
0,PCA,2,1,0.5,0.5,0.09270600000000684
0,PCA,2,2,0.5,0.5,0.0769348999999977
0,PCA,2,3,0.6485,0.64975,0.17069060000000036
0,PCA,2,4,0.5114375,0.50825,0.06986959999998987
0,PCA,2,5,0.7495625,0.75075,0.15056749999999397
0,PCA,2,6,0.5,0.5,0.04694849999999917
0,PCA,2,7,0.6649375,0.661,0.8225175999999976
0,PCA,2,8,0.7545625,0.75375,0.14723910000000728
0,PCA,2,9,0.6599375,0.6485,0.4034850999999975
0,PCA,2,10,0.7298125,0.7245,0.26180080000000316
0,PCA,2,11,0.7545625,0.75375,0.37630829999999094
0,PCA,2,12,0.7666875,0.766,0.3963674000000026
0,PCA,2,13,0.5,0.5,0.04969100000000992
0,PCA,2,14,0.7666875,0.766,1.767659000000009
0,PCA,2,15,0.7666875,0.766,0.47064869999999814
0,PCA,2,16,0.7688125,0.7695,2.2027300999999966
0,PCA,2,17,0.7653125,0.7645,1.2544043999999985
0,PCA,2,18,0.7340625,0.73825,0.5619472999999999
0,PCA,2,19,0.5,0.5,0.03198679999999854
0,PCA,3,0,0.7510625,0.749,0.41093029999998976
0,PCA,3,1,0.5,0.5,0.03695489999999779
0,PCA,3,2,0.5,0.5,0.02972429999999804
0,PCA,3,3,0.6599375,0.658,0.16338679999999783
0,PCA,3,4,0.6763125,0.6795,0.08833889999999656
0,PCA,3,5,0.7490625,0.75175,0.15882449999999437
0,PCA,3,6,0.5,0.5,0.02935540000000003
0,PCA,3,7,0.7615,0.76525,0.11228350000000376
0,PCA,3,8,0.5836875,0.5945,0.1033875999999907
